Designator,Mid X,Mid Y,Rotation,Layer
D1,71.25,-51.5375,90.0,top
D100,78.0,-72.5375,90.0,top
D101,80.25,-72.5375,90.0,top
D102,82.5,-72.5375,90.0,top
D103,84.75,-72.5375,90.0,top
D104,87.0,-72.5375,90.0,top
D113,71.25,-76.0375,90.0,top
D114,73.5,-76.0375,90.0,top
D115,75.75,-76.0375,90.0,top
D116,78.0,-76.0375,90.0,top
D117,80.25,-76.0375,90.0,top
D118,82.5,-76.0375,90.0,top
D119,84.75,-76.0375,90.0,top
D120,87.0,-76.0375,90.0,top
D129,83.5,-82.85,0.0,top
D17,71.25,-55.0375,90.0,top
D18,73.5,-55.0375,90.0,top
D19,75.75,-55.0375,90.0,top
D2,73.5,-51.5375,90.0,top
D20,78.0,-55.0375,90.0,top
D21,80.25,-55.0375,90.0,top
D22,82.5,-55.0375,90.0,top
D23,84.75,-55.0375,90.0,top
D24,87.0,-55.0375,90.0,top
D3,75.75,-51.5375,90.0,top
D33,71.25,-58.5375,90.0,top
D34,73.5,-58.5375,90.0,top
D35,75.75,-58.5375,90.0,top
D36,78.0,-58.5375,90.0,top
D37,80.25,-58.5375,90.0,top
D38,82.5,-58.5375,90.0,top
D39,84.75,-58.5375,90.0,top
D4,78.0,-51.5375,90.0,top
D40,87.0,-58.5375,90.0,top
D49,71.25,-62.0375,90.0,top
D5,80.25,-51.5375,90.0,top
D50,73.5,-62.0375,90.0,top
D51,75.75,-62.0375,90.0,top
D52,78.0,-62.0375,90.0,top
D53,80.25,-62.0375,90.0,top
D54,82.5,-62.0375,90.0,top
D55,84.75,-62.0375,90.0,top
D56,87.0,-62.0375,90.0,top
D6,82.5,-51.5375,90.0,top
D65,71.25,-65.5375,90.0,top
D66,73.5,-65.5375,90.0,top
D67,75.75,-65.5375,90.0,top
D68,78.0,-65.5375,90.0,top
D69,80.25,-65.5375,90.0,top
D7,84.75,-51.5375,90.0,top
D70,82.5,-65.5375,90.0,top
D71,84.75,-65.5375,90.0,top
D72,87.0,-65.5375,90.0,top
D8,87.0,-51.5375,90.0,top
D81,71.25,-69.0375,90.0,top
D82,73.5,-69.0375,90.0,top
D83,75.75,-69.0375,90.0,top
D84,78.0,-69.0375,90.0,top
D85,80.25,-69.0375,90.0,top
D86,82.5,-69.0375,90.0,top
D87,84.75,-69.0375,90.0,top
D88,87.0,-69.0375,90.0,top
D97,71.25,-72.5375,90.0,top
D98,73.5,-72.5375,90.0,top
D99,75.75,-72.5375,90.0,top
J1,79.2734,-87.376,90.0,top
R1,82.65,-80.85,0.0,top
R2,82.65,-79.25,0.0,top
R3,84.95,-80.05,270.0,top
U1,75.8775,-82.0,0.0,top
